"pathway","pval","padj","ES","NES","nMoreExtreme","size","cancer_type","logpval"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.0609547970479705,0.157004780275075,0.390038808442533,1.34065756768748,2642,57,"HNSC",1.21499211039862
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.105325190185364,0.208200957343161,0.449708556245276,1.32303111386982,4914,28,"HNSC",0.97746774799623
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.107840848806366,0.208328912466844,0.464186709499306,1.32791159262307,5081,25,"HNSC",0.967216702499499
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.000125807263272666,0.00213872347563533,0.726992676459038,1.98895562975051,5,21,"HNSC",3.90029428489885
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.860948159735802,0.881693898524616,0.247518354798411,0.762697438500545,39625,34,"HNSC",0.0650229979290213
"KEGG_GALACTOSE_METABOLISM",0.697013659915214,0.759566167856323,-0.303148411391174,-0.847721574263976,36993,26,"HNSC",-0.156758710614086
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.0113436215717521,0.0642805222399284,0.601730824891039,1.64625580217779,540,21,"HNSC",1.94524827017593
"KEGG_FATTY_ACID_METABOLISM",0.677225136684596,0.747586189846632,0.273812751143914,0.879624843989491,30594,41,"HNSC",0.16926693047921
"KEGG_STEROID_BIOSYNTHESIS",0.144135454079015,0.260670502057793,0.511753717676837,1.30474867310047,7022,16,"HNSC",0.841229179373372
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.123837197963999,0.228829604933477,-0.535306358636598,-1.3356425915617,6349,16,"HNSC",-0.907148883232084
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.000226603217765692,0.00321021225168064,0.560131359337811,1.87815813488328,9,50,"HNSC",3.64473392744719
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.00101957585644372,0.00962932753307957,0.410424928612092,1.59903565762181,39,118,"HNSC",2.99158045717434
"KEGG_PURINE_METABOLISM",0.379987312610597,0.50467064956095,-0.287590894230643,-1.03548997793935,22761,104,"HNSC",-0.420230903791595
"KEGG_PYRIMIDINE_METABOLISM",0.407341781214204,0.524606839442535,-0.321523241875709,-1.02603739434094,22758,50,"HNSC",-0.390041041865497
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.342562725954149,0.480180828715948,0.352481928397798,1.07026004046057,15823,32,"HNSC",0.465259894123275
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.0565431939147111,0.150192858835951,0.473266561483197,1.41568610325512,2623,30,"HNSC",1.2476196634737
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.512286849865379,0.597300009543818,0.330050680453896,0.961996763077756,23973,27,"HNSC",0.290486792092039
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.315979930734393,0.463074036421093,0.33509905272295,1.08239333481108,14232,42,"HNSC",0.500340500445197
"KEGG_LYSINE_DEGRADATION",0.169168161729313,0.293454974428401,0.383702123792581,1.21310319547122,7731,38,"HNSC",0.771681369939801
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.0520198344099718,0.142635029833794,0.406599007152119,1.37371645946312,2286,52,"HNSC",1.28383103458824
"KEGG_HISTIDINE_METABOLISM",0.484706557063659,0.597102280440739,-0.367870835834568,-0.979653878492209,25354,21,"HNSC",-0.314521105143544
"KEGG_TYROSINE_METABOLISM",0.302572123740007,0.451204044173695,0.359540149379289,1.09969961141472,13927,33,"HNSC",0.519171086436976
