"","pathway","pval","padj","ES","NES","nMoreExtreme","size","cancer_type"
"1","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.0326213812248598,0.145937758111215,0.49589056051258,1.39753510982886,2878,57,"HNSC"
"2","KEGG_CITRATE_CYCLE_TCA_CYCLE",0.884992552135055,0.993829650777888,0.280711030412855,0.709201816459678,71294,28,"HNSC"
"3","KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.752237072936781,0.987063191334635,0.329196677711761,0.814092966506361,59601,25,"HNSC"
"4","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.0108862490164971,0.0711793204924807,0.655361618986865,1.57017431486434,843,21,"HNSC"
"5","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.0481000713758604,0.177761133345571,0.538148666121922,1.40592280804427,3975,34,"HNSC"
"6","KEGG_GALACTOSE_METABOLISM",0.946516882138823,0.993829650777888,0.255637761254703,0.636779745142855,75408,26,"HNSC"
"7","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.0322073030736886,0.145937758111215,0.613671129573661,1.47028849037567,2496,21,"HNSC"
"8","KEGG_FATTY_ACID_METABOLISM",0.819972569050322,0.993829650777888,0.290185268712385,0.780556701122907,69349,41,"HNSC"
"9","KEGG_STEROID_BIOSYNTHESIS",0.698933354719705,0.943005319859919,0.370827147892751,0.840639366043032,52289,16,"HNSC"
"10","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.093739139733205,0.29510469916009,0.598455682195777,1.35665742959954,7012,16,"HNSC"
"11","KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.000103655587036141,0.00219690279782033,0.630945007745355,1.74697484285319,8,50,"HNSC"
"12","KEGG_OXIDATIVE_PHOSPHORYLATION",0.00344328035440593,0.0292678830124504,0.483617109140434,1.46784235164005,327,118,"HNSC"
"13","KEGG_PURINE_METABOLISM",0.998610315490209,0.998610315490209,0.192260057235416,0.577668356984464,94134,104,"HNSC"
"14","KEGG_PYRIMIDINE_METABOLISM",0.670461445051609,0.935913538694241,-0.252812645880121,-0.90824838153516,8833,50,"HNSC"
"15","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.909384915792043,0.993829650777888,0.267216967196041,0.690943190951701,74514,32,"HNSC"
"16","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.547450468532588,0.885757452986259,0.373900056452486,0.955659164324343,44458,30,"HNSC"
"17","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.975682524623316,0.993829650777888,0.232286883297133,0.58284925955237,78158,27,"HNSC"
"18","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.60073693907093,0.901767392036693,-0.26829612138686,-0.929838127216122,9129,42,"HNSC"
"19","KEGG_LYSINE_DEGRADATION",0.960637242747335,0.993829650777888,-0.208665010528097,-0.706894731349014,15496,38,"HNSC"
"20","KEGG_ARGININE_AND_PROLINE_METABOLISM",0.0367047214732373,0.155995066261259,0.501789375739108,1.39597372117643,3198,52,"HNSC"
"21","KEGG_HISTIDINE_METABOLISM",0.41868019401059,0.751859661266065,-0.345059851331583,-1.01377073196936,9408,21,"HNSC"
"22","KEGG_TYROSINE_METABOLISM",0.257658204785619,0.568227569320864,0.44470799514584,1.15622348906738,21212,33,"HNSC"
"23","KEGG_PHENYLALANINE_METABOLISM",0.679391557729837,0.935913538694241,0.377328732412884,0.855378006189358,50827,16,"HNSC"
"24","KEGG_TRYPTOPHAN_METABOLISM",0.0209344482778785,0.111214256476229,-0.454186345918231,-1.51232520312365,357,35,"HNSC"
